location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20100626T0000,25.600529,14.540529,21.066362
20100627T0000,26.70053,15.240529,21.459276
20100628T0000,27.48053,18.000528,23.231363
20100629T0000,27.80053,19.15053,23.605116
20100630T0000,27.06053,18.07053,23.021364
20100701T0000,28.12053,17.270529,23.54553
20100702T0000,29.57053,19.29053,25.127615
20100703T0000,30.29053,21.760529,25.500528
20100704T0000,23.030529,19.260529,21.633028
20100705T0000,26.20053,17.29053,21.843027
20100706T0000,22.40053,16.22053,19.344698
20100707T0000,25.660528,12.680529,19.674694
20100708T0000,28.360529,15.770529,22.45678
20100709T0000,31.090528,19.64053,25.377611
20100710T0000,31.440529,22.430529,26.531359
20100711T0000,29.07053,21.160528,25.60261
20100712T0000,31.90053,19.920528,24.900946
20100713T0000,27.30053,17.420528,22.84928
20100714T0000,32.000526,19.860529,25.730532
20100715T0000,24.12053,18.38053,21.578863
20100716T0000,28.80053,16.740528,23.474281
20100717T0000,23.87053,18.64053,21.055946
20100718T0000,24.610529,14.220529,19.441778
20100719T0000,25.780529,13.020529,19.33386
20100720T0000,27.45053,13.610529,21.514696
20100721T0000,29.88053,18.830528,24.835527
20100722T0000,23.360529,16.05053,20.739695
20100723T0000,17.46053,13.450529,15.9880295
20100724T0000,20.57053,13.030529,16.550114
20100725T0000,21.13053,12.610529,17.236364
20100726T0000,18.73053,13.990529,16.36928
20100727T0000,22.000528,13.570529,17.772196
20100728T0000,21.490528,14.730529,17.923447
20100729T0000,18.63053,13.710529,16.18053
20100730T0000,20.30053,12.710529,16.520529
20100731T0000,24.14053,12.450529,18.725946
20100801T0000,28.48053,16.40053,21.752197
20100802T0000,20.190529,17.010529,18.469698
20100803T0000,19.90053,13.130529,17.33803
20100804T0000,22.96053,13.650529,18.26428
20100805T0000,17.090528,14.630529,16.09678
20100806T0000,19.990528,11.160529,16.35178
20100807T0000,22.920528,12.540529,18.063862
20100808T0000,21.590528,16.770529,18.926779
20100809T0000,24.65053,14.710529,19.852196
20100810T0000,25.65053,16.600529,21.253862
20100811T0000,24.23053,17.97053,21.167612
20100812T0000,20.330528,16.020529,18.20553
20100813T0000,21.88053,14.400529,17.961779
20100814T0000,21.55053,13.390529,17.627611
20100815T0000,17.40053,13.120529,15.658444
20100816T0000,16.20053,13.380529,14.81303
20100817T0000,19.87053,14.840529,16.992195
20100818T0000,20.64053,15.770529,17.642197
20100819T0000,23.95053,14.970529,19.358862
20100820T0000,26.73053,15.5505295,21.820528
20100821T0000,28.580528,19.340528,24.02178
20100822T0000,30.22053,19.490528,24.583029
20100823T0000,25.500528,18.39053,22.611778
20100824T0000,21.240528,15.600529,19.391363
